Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CFH	"ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS"	ENSG00000000971	"Complement factor H"	P08603	1	196651754-196752476	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Complement alternate pathway, Host-virus interaction, Immunity, Innate immunity"		"Age-related macular degeneration, Cancer-related genes, Disease variant, Hemolytic uremic syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"liver: 1645.3"	"Cell type enhanced"	"Detected in many"		"Fibroblasts: 355.9;Hepatocytes: 834.8;Leydig cells: 285.2;Mesothelial cells: 388.2;Ovarian stromal cells: 208.2"	"Cancer enriched"	"Detected in all"	9	"liver cancer: 151.1"	"Region enhanced"	"Detected in all"		"choroid plexus: 43.6"	"Immune cell enhanced"	"Detected in some"		"MAIT T-cell: 17.6"	"Lineage enriched"	"Detected in single"	56	"T-cells: 17.6"	"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 59.2"	"Heart muscle - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_2"									"CAB016385, CAB016769, HPA038922, HPA049176, HPA053326"	Supported		Approved	Vesicles	"Secreted to blood"	Immunity	NA	NA	396000000000	100000000000	"Cluster 1: T-cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 53: Fibroblasts - ECM organization"	6	Vesicles		"CAB016385: AB_627572, CAB016769: , HPA038922: AB_2676271, HPA049176: AB_2680663, HPA053326: AB_2682113"	"unprognostic (2.40e-1)"	"unprognostic (9.86e-2)"	"unprognostic (1.22e-1)"	"unprognostic (8.39e-2)"	"unprognostic (5.40e-3)"	"unprognostic (1.80e-1)"	"unprognostic (3.75e-3)"	"unprognostic (7.40e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.04e-1)"	"unprognostic (9.08e-2)"	"unprognostic (2.08e-1)"	"prognostic unfavorable (1.92e-6)"	"unprognostic (6.50e-3)"	"unprognostic (4.49e-3)"	"unprognostic (1.73e-1)"	"unprognostic (1.37e-1)"
CFHR1	"CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2"	ENSG00000244414	"Complement factor H related 1"	Q03591	1	196819731-196837159	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"			"Cancer-related genes, Hemolytic uremic syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	224	"liver: 2010.5"	"Cell type enhanced"	"Detected in some"		"Granulosa cells: 65.7;Hepatocytes: 223.4;Kupffer cells: 55.4"	"Cancer enriched"	"Detected in single"	798	"liver cancer: 182.4"	"Region enhanced"	"Detected in single"		"midbrain: 1.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Sarcoma: 3.3;thyroid cancer: 7.0"	"Liver - Hepatocytes"	"Not detected"	"Not detected"							"HPA038915, HPA038922, HPA040726"	Supported		Approved	Vesicles	"Secreted to blood"	"Complement pathway"	NA	NA		13000000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 62: Hepatocytes - Metabolism"	6	Vesicles		"HPA038915: AB_2676269, HPA038922: AB_2676271, HPA040726: AB_2677101"	"unprognostic (2.28e-1)"	"unprognostic (3.18e-1)"			"unprognostic (3.50e-2)"	"unprognostic (1.88e-2)"	"prognostic favorable (8.71e-6)"	"unprognostic (3.02e-1)"	"unprognostic (3.70e-1)"	"unprognostic (2.50e-1)"	"unprognostic (8.48e-2)"		"unprognostic (7.21e-4)"	"unprognostic (7.01e-4)"	"unprognostic (1.13e-1)"		"unprognostic (6.41e-2)"
CFHR2	"CFHL2, FHR2, HFL3"	ENSG00000080910	"Complement factor H related 2"	P36980	1	196943738-196959622	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	2840	"liver: 1309.3"	"Cell type enriched"	"Detected in some"	26	"Hepatocytes: 1227.2"	"Cancer enriched"	"Detected in single"	175	"liver cancer: 8.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"									"HPA038915, HPA040726, HPA049813"	Supported				"Secreted to blood"	"Complement pathway"	NA	NA		4800000000		"Cluster 31: Liver - Plasma proteins"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	1			"HPA038915: AB_2676269, HPA040726: AB_2677101, HPA049813: AB_2680895"							"unprognostic (1.25e-2)"										
CFHR3	"CFHL3, DOWN16, FHR-3, FHR3, HLF4"	ENSG00000116785	"Complement factor H related 3"	Q02985	1	196774813-196795407	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"			"Hemolytic uremic syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	982	"liver: 381.0"	"Cell type enriched"	"Detected in some"	6	"Hepatocytes: 139.6"	"Cancer enriched"	"Detected in single"	80	"liver cancer: 27.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 2.6;thyroid cancer: 2.8"															"Secreted to blood"	"Complement pathway"	NA	NA	582000000	3100000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 62: Hepatocytes - Metabolism"	1				"unprognostic (1.73e-1)"	"unprognostic (2.11e-1)"	"unprognostic (7.16e-2)"	"unprognostic (6.77e-2)"	"unprognostic (4.46e-1)"	"unprognostic (4.20e-3)"	"prognostic favorable (2.86e-5)"	"unprognostic (1.78e-1)"	"unprognostic (2.05e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.19e-2)"	"unprognostic (6.11e-3)"	"unprognostic (2.06e-10)"	"unprognostic (2.67e-4)"	"unprognostic (3.00e-1)"	"unprognostic (3.29e-2)"	"unprognostic (1.32e-1)"
CFHR4	"CFHL4, FHR-4, FHR4"	ENSG00000134365	"Complement factor H related 4"	Q92496	1	196888014-196918795	"Plasma proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	548	"liver: 98.6"	"Cell type enriched"	"Detected in some"	6	"Hepatocytes: 36.6"	"Cancer enriched"	"Detected in single"	145	"liver cancer: 13.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"														"Secreted to blood"	"Complement pathway"	NA	NA		170000000		"Cluster 31: Liver - Plasma proteins"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 62: Hepatocytes - Metabolism"										"unprognostic (5.97e-1)"	"prognostic favorable (1.57e-6)"	"unprognostic (1.89e-1)"	"unprognostic (4.79e-2)"	"unprognostic (1.26e-1)"				"unprognostic (1.68e-2)"			"unprognostic (4.71e-1)"
CFHR5	"CFHL5, FHR-5, FHR5"	ENSG00000134389	"Complement factor H related 5"	Q9BXR6	1	196975010-197009678	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant, Hemolytic uremic syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1620	"liver: 162.0"	"Cell type enriched"	"Detected in some"	21	"Hepatocytes: 95.1"	"Cancer enriched"	"Detected in single"	396	"liver cancer: 57.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"									"HPA038915, HPA040726"	Supported				"Secreted to blood"	"Complement pathway"	NA	NA		1900000000		"Cluster 31: Liver - Plasma proteins"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"	15			"HPA038915: AB_2676269, HPA040726: AB_2677101"							"unprognostic (9.12e-3)"										
CFI	"C3b-INA, FI, IF, KAF"	ENSG00000205403	"Complement factor I"	P05156	4	109731008-109802150	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Complement pathway, Host-virus interaction, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Age-related macular degeneration, Disease variant, Hemolytic uremic syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"liver: 952.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 108.7;Hepatocytes: 454.5;Muller glia cells: 114.1;Proximal tubular cells: 195.1"	"Cancer enhanced"	"Detected in all"		"liver cancer: 90.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Colon - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Endothelial cells, Skin - Endothelial cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA001143, CAB016777, HPA024061"	Supported				"Secreted to blood"	"Complement pathway"	NA	NA		12000000000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 62: Hepatocytes - Metabolism"	1			"CAB016777: , HPA001143: AB_1078555, HPA024061: AB_1847129"	"unprognostic (1.04e-1)"	"unprognostic (5.79e-2)"	"unprognostic (1.68e-1)"	"unprognostic (6.32e-2)"	"unprognostic (1.55e-2)"	"unprognostic (8.58e-2)"	"unprognostic (2.95e-2)"	"unprognostic (3.00e-1)"	"unprognostic (2.00e-2)"	"unprognostic (5.42e-3)"	"unprognostic (1.41e-1)"	"unprognostic (3.61e-1)"	"unprognostic (8.63e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.42e-2)"	"unprognostic (1.74e-1)"	"prognostic unfavorable (6.06e-4)"
CFP	PFC	ENSG00000126759	"Complement factor properdin"	P27918	X	47623172-47630305	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Complement alternate pathway, Immunity, Innate immunity"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"bone marrow: 83.0;lymphoid tissue: 57.0"	"Cell type enhanced"	"Detected in some"		"Kupffer cells: 8.4;Langerhans cells: 21.9;Macrophages: 43.6;monocytes: 11.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in all"	8	"classical monocyte: 1169.0;intermediate monocyte: 1275.0;myeloid DC: 995.2;neutrophil: 733.0;non-classical monocyte: 872.6"	"Group enriched"	"Detected in all"	46	"dendritic cells: 995.2;granulocytes: 733.0;monocytes: 1275.0"	"Cancer enriched"	"Detected in some"	9	"Leukemia: 12.2"	"Adipose subcutaneous - Macrophages, Breast - Macrophages, Colon - Macrophages, Lung - Neutrophil_2, Skeletal muscle - Macrophages, Stomach - Macrophages"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			HPA072644			Approved	Vesicles	"Secreted to blood"	Immunity	NA	NA		6200000000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 15: Non-specific - Transcription"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	22	Vesicles		"HPA072644: "	"unprognostic (2.77e-3)"	"unprognostic (2.21e-3)"	"unprognostic (1.00e-1)"	"unprognostic (2.15e-2)"	"unprognostic (4.15e-2)"	"unprognostic (9.66e-5)"	"unprognostic (9.90e-3)"	"unprognostic (1.30e-2)"	"unprognostic (5.37e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.08e-2)"	"unprognostic (2.70e-1)"	"unprognostic (1.97e-2)"	"unprognostic (2.58e-1)"	"unprognostic (1.32e-1)"	"unprognostic (4.62e-2)"	"unprognostic (2.17e-1)"
CGA	"FSHA, GPA1, GPHa, GPHA1, HCG, LHA, TSHA"	ENSG00000135346	"Glycoprotein hormones, alpha polypeptide"	P01215	6	87085498-87095106	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"		Hormone	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"pituitary gland: 4272.4"	"Cell type enriched"	"Detected in some"	18	"Syncytiotrophoblasts: 113935.8"	"Cancer enhanced"	"Detected in many"		"breast cancer: 10.9;testis cancer: 13.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	14	"cervical cancer: 417.4;testis cancer: 1324.5"		"Region enriched"	"Detected in many"	6	"hypothalamus: 22.2"	"Region enriched"	"Detected in all"	18	"hypothalamus: 110.4"	"CAB023350, HPA029698"	Enhanced				"Secreted to blood"	Hormone	NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 46: Brainstem - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	4			"CAB023350: AB_617281, HPA029698: AB_2673153"	"unprognostic (1.66e-1)"	"unprognostic (2.10e-1)"		"unprognostic (3.22e-5)"	"unprognostic (1.46e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.69e-2)"	"unprognostic (3.17e-1)"			"unprognostic (7.04e-3)"	"unprognostic (1.51e-1)"		"unprognostic (2.85e-1)"	"unprognostic (4.32e-2)"	"unprognostic (8.32e-2)"	"unprognostic (9.15e-3)"
CGB1		ENSG00000267631	"Chorionic gonadotropin subunit beta 1"	A6NKQ9	19	49035569-49036895	"Predicted intracellular proteins, Predicted secreted proteins"		Hormone		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	11	"pancreas: 2.6;pituitary gland: 4.1"	"Cell type enriched"	"Detected in some"	103	"Syncytiotrophoblasts: 177.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"												"HPA038925, HPA038934, CAB080127"	Approved				"Secreted to blood"	Hormone	NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 49: HMC-1 - Innate immune response"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"				"CAB080127: , HPA038925: AB_2676272, HPA038934: AB_2676277"																	
CGB2		ENSG00000104818	"Chorionic gonadotropin subunit beta 2"	Q6NT52	19	49031890-49033238	"Predicted intracellular proteins, Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"testis: 1.5"	"Cell type enriched"	"Detected in some"	9	"Syncytiotrophoblasts: 22.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"												"HPA038925, HPA038934"	Supported				"Secreted in other tissues"	Hormone	NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 37: Neurons - Mixed function"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"				"HPA038925: AB_2676272, HPA038934: AB_2676277"										"unprognostic (3.05e-2)"							
CGB3	CGB	ENSG00000104827	"Chorionic gonadotropin subunit beta 3"	P0DN86	19	49022869-49024333	"Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"placenta: 9.5"	"Cell type enriched"	"Detected in some"	6	"Syncytiotrophoblasts: 674.4"	"Group enriched"	"Detected in some"	5	"pancreatic cancer: 2.9;testis cancer: 4.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 4.0"										"CAB000042, CAB010884, HPA038925, HPA038934"	Enhanced				"Secreted to blood"	Hormone	NA	NA				"Cluster 58: Placenta - Pregnancy"	"Cluster 25: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	2			"CAB000042: , CAB010884: AB_259037, HPA038925: AB_2676272, HPA038934: AB_2676277"									"unprognostic (1.39e-1)"		"unprognostic (7.88e-2)"				"unprognostic (6.92e-2)"		"unprognostic (1.04e-2)"
CGB5	HCG	ENSG00000189052	"Chorionic gonadotropin subunit beta 5"	P0DN86	19	49043848-49045311	"Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"pituitary gland: 8.4;placenta: 24.9"	"Group enriched"	"Detected in some"	11	"Extravillous trophoblasts: 3.2;Syncytiotrophoblasts: 11.5"	"Cancer enhanced"	"Detected in some"		"pancreatic cancer: 10.0;testis cancer: 5.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"												"HPA038925, HPA038934"	Supported				"Secreted to blood"	Hormone	NA	NA				"Cluster 58: Placenta - Pregnancy"		"Cluster 72: Neuronal - Signal transduction"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	2			"HPA038925: AB_2676272, HPA038934: AB_2676277"		"unprognostic (1.38e-1)"				"unprognostic (1.68e-1)"					"unprognostic (1.51e-3)"			"prognostic unfavorable (1.18e-5)"	"unprognostic (1.07e-1)"		"prognostic unfavorable (9.47e-4)"
CGB7	CG-beta-a	ENSG00000196337	"Chorionic gonadotropin subunit beta 7"	P0DN87	19	49054274-49058860	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"prostate: 3.5;skin 1: 4.3"	"Cell type enriched"	"Detected in some"	7	"Syncytiotrophoblasts: 44.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells, Lung - Respiratory ciliated cells"									"HPA038925, HPA038934"	Supported				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 46: Brainstem - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"				"HPA038925: AB_2676272, HPA038934: AB_2676277"	"unprognostic (9.53e-2)"	"unprognostic (1.99e-1)"	"unprognostic (1.87e-1)"	"unprognostic (3.53e-1)"	"unprognostic (4.60e-5)"	"unprognostic (2.64e-1)"	"unprognostic (2.46e-1)"	"unprognostic (8.37e-2)"	"unprognostic (2.88e-2)"	"unprognostic (4.80e-2)"	"unprognostic (8.83e-4)"	"unprognostic (1.54e-1)"	"unprognostic (3.89e-8)"	"unprognostic (1.63e-2)"	"unprognostic (1.94e-1)"	"unprognostic (2.05e-1)"	"unprognostic (9.28e-2)"
CGB8		ENSG00000213030	"Chorionic gonadotropin subunit beta 8"	P0DN86	19	49047638-49049111	"Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"placenta: 18.1"	"Cell type enriched"	"Detected in some"	7	"Syncytiotrophoblasts: 28.5"	"Cancer enriched"	"Detected in some"	4	"testis cancer: 5.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 25.3"										"HPA038925, HPA038934"	Supported				"Secreted to blood"	Hormone	NA	NA				"Cluster 58: Placenta - Pregnancy"		"Cluster 72: Neuronal - Signal transduction"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	2			"HPA038925: AB_2676272, HPA038934: AB_2676277"		"unprognostic (3.35e-2)"				"unprognostic (1.72e-1)"					"unprognostic (7.44e-3)"				"unprognostic (4.70e-1)"		"unprognostic (1.67e-2)"
CGREF1	CGR11	ENSG00000138028	"Cell growth regulator with EF-hand domain 1"	Q99674	2	27098889-27119128	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion, Cell cycle, Growth arrest"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 41.3"	"Cell type enriched"	"Detected in many"	14	"Oocytes: 227.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008241, HPA071103"	Uncertain		Approved	"Golgi apparatus"	"Secreted in brain"	"Cell adhesion"	NA	NA		700000		"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 44: Oocytes - Unknown function"	1	"Golgi apparatus"		"HPA008241: AB_1846605, HPA071103: "	"unprognostic (1.39e-2)"	"unprognostic (1.26e-2)"	"unprognostic (1.62e-1)"	"prognostic unfavorable (3.18e-4)"	"unprognostic (8.45e-2)"	"unprognostic (3.99e-2)"	"prognostic unfavorable (7.57e-4)"	"unprognostic (5.22e-2)"	"unprognostic (7.34e-2)"	"unprognostic (1.92e-1)"	"unprognostic (2.57e-1)"	"unprognostic (2.27e-1)"	"unprognostic (2.52e-3)"	"unprognostic (1.05e-1)"	"unprognostic (2.30e-2)"	"unprognostic (7.24e-4)"	"unprognostic (1.20e-2)"
CHAD	SLRR4A	ENSG00000136457	Chondroadherin	O15335	17	50464496-50468906	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 33.9;liver: 35.4;pancreas: 31.6"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 3.7;Distal enterocytes: 4.0;Gastric mucus-secreting cells: 2.9;Intestinal goblet cells: 10.7;Oligodendrocyte precursor cells: 5.2"	"Group enriched"	"Detected in many"	5	"breast cancer: 23.7;liver cancer: 10.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	53	"memory B-cell: 21.6;naive B-cell: 8.1"	"Lineage enriched"	"Detected in single"	76	"B-cells: 21.6"	"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Liver - Hepatocytes, Prostate - Prostate basal glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			HPA018241	Enhanced				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		22000000	"Cluster 17: B-cells - Immunoglobulins"	"Cluster 68: Non-specific - Protein processing"	"Cluster 15: Non-specific - Transcription"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA018241: AB_1846612"	"prognostic favorable (7.68e-4)"	"unprognostic (4.34e-2)"	"unprognostic (1.24e-1)"	"unprognostic (9.67e-3)"	"unprognostic (1.92e-1)"	"unprognostic (3.06e-3)"	"prognostic favorable (1.59e-4)"	"unprognostic (1.51e-2)"	"unprognostic (4.75e-2)"	"unprognostic (3.73e-3)"	"unprognostic (1.53e-1)"	"unprognostic (1.39e-1)"	"unprognostic (1.92e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.84e-2)"	"unprognostic (1.51e-3)"	"unprognostic (1.41e-3)"
